time,Whole Area,South China,Indochina,Malay Archipelago
2022-10-31,416.3249895062397,416.91045847558627,416.21673299729974,416.3109230841992
2022-11-30,417.00408565429564,418.12471457243004,416.7049487556036,416.7126139890287
2022-12-31,418.1787005521178,420.032955309215,418.82865313696294,417.30913561630916
2023-01-31,418.8615739883476,420.679412865878,419.14386096821283,418.3199823041846
2023-02-28,419.3346325908789,421.0989164872925,419.2300045763438,418.9382367091232
2023-03-31,420.25897175322814,423.0831742224071,420.70357554020916,419.43828633129647
2023-04-30,420.8101596278237,423.85142939441096,421.6286066014065,419.3442065597365
2023-05-31,420.77134730271007,423.0351326645208,422.28504728537024,419.28368403248174
2023-06-30,420.5827530235986,422.0672047927161,422.0897236681832,419.5484561015684
2023-07-31,419.55243024004034,419.9028079226461,419.3159810343899,419.2287273655419
2023-08-31,418.8290077770797,418.54080630607496,418.6972265622827,419.0133899862461
2023-09-30,418.4115305355749,417.95853992529675,417.94193571582315,418.7610810742854
2023-10-31,418.89001559040736,419.66926693342225,418.5946994031594,418.7683255894414
2023-11-30,419.7396513628243,420.6427865170631,419.80725261920395,419.3366313135766
2023-12-31,420.9526371076196,422.42469157095616,421.5289795065808,420.31720731880137
2024-01-31,422.18755367931624,424.61136390760277,422.26207830808283,421.71317736391325
2024-02-29,422.8533379620836,424.26739714233497,422.45622375250895,423.0861467332262
2024-03-31,423.6410809391418,425.5885873367152,423.9284250597522,423.2585506544281
2024-04-30,424.2179403080185,426.2794235164182,425.4832222423524,423.6539727140906
2024-05-31,424.4397038775411,425.9265671049662,426.06063398623513,423.67112877565427
2024-06-30,423.99008844619027,426.08987850538153,425.34698483031093,422.59978878922215
2024-07-31,423.1554478300398,424.2598168364562,423.2949702607868,422.37171389237255
2024-08-31,422.51086071565294,422.8871423888245,422.2669734481441,421.9975774596249
2024-09-30,421.7597871279929,422.19942022147234,421.2849882181329,421.5784107415525
2024-10-31,422.28959984020577,423.0748069634801,421.9029494439529,422.04464104651476
2024-11-30,423.3323105869191,424.90966811486123,424.0665504301108,422.2018510894087
2024-12-31,424.16840497004694,426.33217229726125,424.7744483129105,422.9189067216564
2025-01-31,424.9104282625743,426.6316891759674,425.10473658917834,424.0284562923439
2025-02-28,426.23612698308006,428.5361186236984,426.68678507566347,425.8975117014591
2025-03-31,426.952081421838,428.3626800237432,427.631446104666,426.7054822623043
2025-04-30,427.3923357567756,429.1249205658409,428.4416436080594,426.6344755663098
2025-05-31,427.38569875371144,428.9468805839046,428.7842319434756,426.5166397868678
2025-06-30,426.53893904134856,427.5508848224288,427.1871099785979,425.7180954650805
2025-07-31,425.85480844340736,426.57922483014397,425.64076613008274,425.77961130989434
